feature,importance
 Net Income to Stockholder's Equity,0.029752011558686658
 Net Value Growth Rate,0.02894880543325708
 Persistent EPS in the Last Four Seasons,0.023437848391898095
 Borrowing dependency,0.02341587057797926
 Net profit before tax/Paid-in capital,0.019966841849328367
 Degree of Financial Leverage (DFL),0.01828135527975614
 Per Share Net profit before tax (Yuan ¥),0.01754123482254778
 Net Value Per Share (B),0.016652469894935767
 Net Income to Total Assets,0.01652745698442301
 Total debt/Total net worth,0.016306774928316153
